title,price,rating,reviews,availability
NBA 2K23 - PlayStation 5,$39.99,4.6 out of 5 stars,169 ratings,In Stock
Goat Simulator 3 - PlayStation 5,$20.00,,,
PlayStation 5 Console,,4.4 out of 5 stars,55 ratings,Available by invitation
PS5 Console – God of War Ragnarök Bundle,,4.5 out of 5 stars,40 ratings,Available by invitation
PlayStation 5 Digital Edition,,4.3 out of 5 stars,31 ratings,Available by invitation
PS5 Digital Edition- Horizon Forbidden West Bundle,,,128 ratings,Available by invitation
PS5 Digital Edition – God of War Ragnarök Bundle,,,8 ratings,Available by invitation
PS5 Console- Horizon Forbidden West Bundle,,,"5,287 ratings",Available by invitation
God of War Ragnarök Launch Edition - PlayStation 5,$69.00,4.6 out of 5 stars,120 ratings,In Stock
PlayStation DualSense Wireless Controller - Starlight Blue - PlayStation 5,$49.99,,"63,995 ratings",In Stock
PlayStation PULSE 3D Wireless Headset,$69.99,4.7 out of 5 stars,"18,038 ratings",In Stock
PlayStation 4 Slim 1TB Console - Black (Renewed),$479.00,4.6 out of 5 stars,"1,174 ratings",
Sony PlayStation 2 Console - Black (Renewed),$227.99,4.4 out of 5 stars,"1,046 ratings",
PlayStation 4 Slim 1TB Console (Renewed),$404.99,4.3 out of 5 stars,928 ratings,Not Available
PlayStation 2 Slim Console PS2 (Renewed),$199.00,,885 ratings,Only 1 left in stock - order soon.
Playstation 2 Console - Black (Renewed),$242.23,4.3 out of 5 stars,303 ratings,Only 6 left in stock - order soon.
"PS5 Stand with 2 Cooling Fan, CODOGOY Dual Fast PS5 Controller Charging Station with Games Storage, PS5 Cooling Station PS5 Accessories Vertical Stand for Sony Playstation 5 Disc & Digital Editions",,4.6 out of 5 stars,10 ratings,Not Available
NBA 2K23 - PlayStation 5,$39.99,4.6 out of 5 stars,169 ratings,In Stock
Madden NFL 23 – PlayStation 5,$65.88,4.4 out of 5 stars,600 ratings,In Stock
Gran Turismo 7 Standard Edition - PlayStation 5,$39.99,4.5 out of 5 stars,100 ratings,In Stock
Sonic Frontiers - PlayStation 5,$59.93,4.3 out of 5 stars,32 ratings,
"Audeze Penrose Wireless Gaming Headset for Playstation 4 and 5, Mac, Windows, Switch, Skype, Zoom with Low-Latency Wireless & Bluetooth",,,345 ratings,Not Available
"Razer Kaira HyperSpeed Wireless Gaming Headset for Playstation 5 / PS5, PS4, PC, Mobile: 50mm Drivers - HyperClear Cardioid Mic - Memory Foam Cushions - Bluetooth - 30 Hr Battery - White & Black",,4.5 out of 5 stars,285 ratings,In Stock.
Call of Duty: Modern Warfare II - PlayStation 5,$69.99,,169 ratings,In Stock
PlayStation PULSE 3D Wireless Headset – Midnight Black,$69.99,4.7 out of 5 stars,"18,038 ratings",In Stock
Fortnite - Anime Legends- PlayStation 5,$19.93,4.6 out of 5 stars,10 ratings,Not Available
"LED Light Compatible with PS5, YUANHOT RGB Light Strip Compatible with Playstation 5 Console with 7 Colors 358 Modes, LED Kit DIY Decoration Accessories Flexible Lights Strip with Remote",,4.6 out of 5 stars,128 ratings,In Stock
